Piece Title,Artist Gender,Artist of Color,Figure of Color,"If yes, only figures of color?",Subject Gender,Plaque Description
Girl with Cat,Man,No,No,,Woman,"William Matthew Prior's depictions of children rank among his most engaging efforts, and this ambitiously composed, large-scale painting is one of his best. Pets appear in many youngsters' likenesses, but few paintings so successfully capture the special bond between children and animals. The long yellow feather in the girl's hand reveals that Prior has interrupted a moment of lighthearted play shared by child and cat.
As evidenced here, Prior
Mastered sophisticated
painting techniques. Yet
throughout his career, he continued to offer flatly-painted portraits, like the adjacent likeness of Phebe Ann
Hawes that incorporated minimal modeling. This was done by simplifying or eliminating the subtle transitions between lights and darks
The Artist as a Young Man: Self Portrait
Fenimore Art Museum
used to produce the convincing illusion of three-dimensional form on a two-dimensional surface. Because such works could be executed more rapidly, they cost less and, therefore, appealed to a far greater range of clients."
Phebe Ann Carlton Hawes,Man,No,No,,Woman,"This portrait exemplifies William Matthew Prior's flat portraiture or, as he phrased it, ""without shade or shadow."" For such works, he first painted the head and hair, then suggested clothing and backgrounds with broad, sweeping brushstrokes, finally picking out facial features and other details with a small, pointed brush. The results were strikingly decorative. Thanks to the artist's knack for capturing personal characteristics, his portraits also succeeded as credible likenesses.
Phebe Ann Carlton (1822-1881) was born in Frankfort, Maine, and married Philander Hawes there on October 26, 1843. The couple, who had four children, are thought to have lived their entire lives in Maine. It is unclear whether they traveled to Prior's post-1840 home base in Boston or whether Prior traveled to their locale. The latter possibility is suggested by a gap in the artist's Boston advertisements."
Two Children,Unknown,,No,,Both,None
Woman with Sewing Box,Unknown,,No,,Woman,None
Jonathan Adams Bartlett and Harriet Glines,Man,No,No,,Both,"Jonathan Bartlett's self-portrait provides a rare glimpse of a folk artist’s conception of himself and his vocation, just as it documents the tools, of his trade. Artistic pride is evident in the prominent display of brushes, palette, palette knife, grinding slab, and muller, the cone-shaped device shown resting on the slab, used to crush dry pigment. Although clearly proud of his artistic
abilities, Barlett (1817-1902) was a farmer and house carpenter by trade and also tried his hand at cabinetmaking, photography, music, and teaching. The original mahogany-veneered frames were reportedly made by him.
The painter signed dated this companion portrait of his fiancée, Harriet A. Glines (1818-1893), whom he married in May 1842. The couple raised eight children plus three grandchildren left motherless by early deaths in the family. The Bartletts' portraits descended in their family until 1976."
Boy in Plaid,Unknown,,No,,Man,None
Polsapianna Bull Dorr and Maria Ester Dorr,Man,No,No,,Woman,"The pastel background of this portrait is characteristic of Phillip’s so-called “Border Period,” when he frequented
communities on either side of the western Massachusetts-eastern New York boundary. The modeling of these early figures is unrealistically conceived and painstakingly applied, suggesting the artist's struggle to teach himself the rudiments of effectively representing three-dimensional forms.
Three children were born to Polsapianna Bull (783-1869) and Russel Dor after Philips
painted the family's nine members in 1814- 1815. Thus Polsapianna was left with the task of raising ten children aged fifteen months to twenty years when her husband died prematurely in 1824. Despite the fact that Polsapianna never remarried, she managed to see her six daughters wed to prosperous men, while three of her sons became lawyers and one a doctor. Judging by Maria Esther's apparent infancy, one assumes the group of Dorr family portraits to have been painted within the year following her birth on April 16, 1814."
The Hansbury Sisters,Unknown,,No,,Woman,None
Russell Girls with Cat,Man,No,No,,Woman,"William Anderson Roberts was a prolific artist who painted in North Carolina, Virginia, and Kentucky beginning about
1857. He fought with the Confederate Army during the Civil War, but resumed his artistic activity at the war's conclusion.
Roberts's appointment books record roughly 106 portraits completed in Caswell County, his North Carolina home. There he painted several members of the extended Russell family.
Among the wealthiest residents of the county, they were well positioned geographically and financially to be Roberts's patrons. The youthful subjects of this painting, Annie ""Fannie"" Elizabeth Russell (1864-1955), left, and her older sister, Sarah Bell (1862-1886), were born to William Russell and Martha Jane Womack. Their portrait was most likely completed in early 1866, shortly before the death of their father."
San Longinos,Man,Yes,Unknown,,Man,"Many of the mission churches in what is now New Mexico were richly decorated with ""santos"" or devotional images. The paintings and sculptures depicted religious subjects and were often used for worship or religious observances. This ""retablo"" or panel painting depicts San Longinos, the legendary Roman soldier who was instantly converted to Christianity after he pierced Christ's side with a lance at the crucifixion. It belongs to a body of work widely recognized as the first folk art created in New Mexico.
The artist is sometimes also known as the Truchas Master, named for the church and town where the majority of his works were found."
Deborah Glen,Unknown,,No,,Woman,None
Devil Doors,Man,No,No,,,"R. A. Miller began painting and drawing after deteriorating eyesight forced him to retire from full-time work. Since age 12, he held a variety of jobs on a farm, in a cotton mill, and at a nearby gas station, but none were as impactful as his role of a Free Will Baptist minister. Faith played an important part in Miller's life, motivating him to create visual messages of God's word.
The Bible served as inspiration for much of Miller's work and devils were a common subject. He drew the demons in various sizes and forms on a wide array of found materials such as scrap metal and wood, often characterizing each figure's temperament by a specific color. According to Miller, the red and purple devils shown here are the
type ""that get you in all kind of trouble."" Miller's colorful artwork gained considerable notoriety after being featured in a 1984 music video for the rock band R.E.M."
The Peaceable Kingdom (1994),Woman,No,Yes,No,Both,"Self-taught artist Malcah Zeldis (born Mildred Brightman in 1931 in the Bronx, New York) was encouraged to pursue painting as a young woman, but did not begin her artistic work in earnest until her 50s.
Her version of the ""Peaceable Kingdom,"" an American folk art composition most notably associated with Edward Hicks, places a human twist on the harmonious landscape. Zeldis populates her painting with pivotal historical and contemporary personages. She states that ""summoning"" these individuals brought her great pleasure and creativity, ""as though [these figures] imparted their strength to me."" In this composition, Zeldis summoned diverse notables including Eleanor Roosevelt, Luciano Pavarotti, Nelson Mandela, her parents, Abraham Lincoln, Martin Luther King, Louis Armstrong, and Charlie Chaplin."
